YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR
1939,4.27,6.02,0,6.5
1900,3.71,10,0,10
1900,3.1,4,0,4
1939,4.51,6.02,0,6.5
1900,2.44,4,0,4
1900,2.53,4,0,4
1900,2.92,4,0,4
1900,3.12,10,3.4,10
1900,2.73,4,0,4
1900,3.48,4,0,4
1900,2.89,10,3.4,10
1900,3.91,4,0,4
1900,2.55,4,0,4
1964,0.81,10,10,10
1957,6,10,0,10
1900,1.66,4,0,4
1900,3.02,10,3.4,10
1900,2.06,4,0,4
1900,3.26,10,3.4,10
0,0,0,0,0
1900,2.35,4,0,4
1900,2.93,4,0,4
1900,3.05,4,0,4
1949,3.31,6.02,0,6.5
1963,0.84,6.02,0,6.5
1983,4.19,10,0,10
1900,2.45,4,0,4
0,0,10,10,10
1900,3.99,10,3.4,10
1900,2.21,4,0,4
1966,3.25,4,0,4
1900,2.31,4,0,4
1900,3.21,4,0,4
1900,3.1,10,0,10
1911,6.66,6.02,0,6.5
1963,4.97,10,10,10
1903,7.31,7.52,2,7.5
1926,3.5,4,0,4
1900,2.67,4,0,4
1900,2.59,4,0,4
1900,1.07,4,0,4
1900,3.05,4,0,4
1900,3.95,4,0,4
1900,4.42,10,0,10
1900,3.21,10,3.4,10
1900,3.62,10,3.4,10
0,0,10,10,10
1964,9.13,6.02,0,6.5
0,0,10,10,10
1900,3.09,4,0,4
1923,15.96,10,3.4,10
0,0,10,10,10
1900,3.65,10,0,10
2007,9.44,10,3.4,10
1900,3.04,4,0,4
1904,7.52,6.02,0,6.5
1900,3.65,10,3.4,10
1973,4.18,6.02,0,6.5
1987,1.12,10,10,10
1978,6.63,10,10,10
1963,4,6.02,0,6.5
1901,2.16,4,0,4
1900,2.99,4,0,4
1900,2.16,4,0,4
1927,13.15,10,0,10
1889,2.68,4,0,4
1900,3.15,4,0,4
1900,4.22,4,0,4
1900,2.97,4,0,4
1982,5.12,6.02,0,6.5
1900,2.46,4,0,4
1900,2.37,4,0,4
1963,5.12,6.02,0,6.5
1900,3.91,4,0,4
1900,3.73,10,3.4,10
1900,2.91,4,0,4
1900,2.92,4,0,4
1971,12.28,10,3.4,10
2007,7.81,6.02,0,6.5
1974,1.6,10,10,10
1900,2.55,4,0,4
1900,3.45,4,0,4
1900,2.13,4,0,4
1901,2.96,6.02,0,6.5
1928,7.69,4,0,4
1907,9.74,10,0,10
1900,4.2,10,3.4,10
1900,2.46,4,0,4
1900,3.08,10,3.4,10
1900,2.35,4,0,4
1900,3.15,4,0,4
1923,7.37,4,0,4
1900,3.17,4,0,4
1977,6.08,6.02,0,6.5
1900,2.48,4,0,4
1938,5.12,6.02,0,6.5
1900,2.73,4,0,4
1900,3.75,10,3.4,10
1900,3.2,4,0,4
1900,3.83,4,0,4
1900,3.05,10,0,10
1900,2.55,4,0,4
1900,2.31,4,0,4
1900,4.63,10,3.4,10
1917,14.08,6.02,0,6.5
1900,3.49,10,3.4,10
1900,1.69,4,0,4
1937,4.42,6.02,0,6.5
1983,14.54,10,10,10
1939,3.54,6.02,0,6.5
1900,3.33,4,0,4
1901,2.95,4,0,4
1928,7.16,4,0,4
1900,3.21,4,0,4
1964,3.19,10,10,10
1900,2.87,4,0,4
1924,6.19,4,0,4
1972,3.57,6.02,0,6.5
1916,5.35,10,3.4,10
1900,3.03,4,0,4
1969,2.8,6.02,0,6.5
1900,3.79,4,0,4
1900,3.04,4,0,4
1997,15.76,10,10,10
1900,3.1,4,0,4
1900,3.24,4,0,4
1900,3.33,4,0,4
1900,3.55,10,3.4,10
1900,3.03,4,0,4
1900,2.88,4,0,4
1900,2.9,4,0,4
1900,3.11,4,0,4
1900,3.21,4,0,4
1926,6.35,7.52,2,7.5
1900,4.06,4,0,4
1900,3.98,4,0,4
1913,6.9,10,3.4,10
1900,3.24,4,0,4
1900,3.2,4,0,4
1900,3.59,10,0,10
1900,3.48,4,0,4
1917,5.9,10,10,10
1900,3.21,4,0,4
1900,3.1,4,0,4
1900,3.17,4,0,4
1900,5.81,10,0,10
1900,3.05,4,0,4
1900,3.22,4,0,4
1957,1.34,10,10,10
1924,8.53,10,10,10
1900,2.44,4,0,4
2012,47.84,10,10,10
1977,12.37,10,3.4,10
1900,5.43,7.52,2,7.5
1964,0.55,0,0,0
1900,3.04,4,0,4
1900,7.58,10,0,10
1900,2.45,4,0,4
1900,2.48,4,0,4
1901,2.96,4,0,4
1900,0.97,10,0,10
1900,3.89,4,0,4
1900,2.47,4,0,4
1900,3.63,4,0,4
1900,3.17,4,0,4
1900,3.66,4,0,4
1900,2.46,4,0,4
1901,0.98,4,0,4
1900,3.11,4,0,4
1900,3.14,4,0,4
1900,3.36,4,0,4
1900,2.54,4,0,4
1962,12.3,10,10,10
1900,3.5,4,0,4
1900,3.61,7.52,2,7.5
1974,11.19,10,10,10
1900,2.54,4,0,4
1900,3.67,4,0,4
1900,3.22,4,0,4
1900,0,10,0,10
1905,10.03,10,10,10
0,0,0,0,0
1929,11.67,10,0,10
1905,10.43,10,3.4,10
1926,4.85,10,10,10
1905,8.88,6.02,0,6.5
1905,10.07,7.52,2,7.5
1905,7.99,10,3.4,10
1905,8.62,6.02,0,6.5
1905,3.18,10,3.4,10
2007,3.58,6.02,0,6.5
1905,2.38,4,0,4
1905,3.36,10,3.4,10
1905,3.37,10,0,10
1961,0.78,4,0,4
1910,2.77,10,10,10
1910,4.71,7.52,2,7.5
1910,3.33,4,0,4
1910,3.2,4,0,4
1910,3.14,4,0,4
1910,2.85,4,0,4
1907,2.97,4,0,4
1910,2.7,4,0,4
1910,3.93,7.52,2,7.5
1910,3.78,4,0,4
1910,4.85,7.52,2,7.5
1910,3.71,4,0,4
1928,6.4,10,10,10
1910,3.06,4,0,4
1962,5.85,6.02,0,6.5
1969,14.22,10,0,10
1987,8.62,4,0,4
1978,4.7,10,10,10
1902,7.89,6.02,0,6.5
1910,3.83,7.52,2,7.5
1910,2.99,7.52,2,7.5
1910,3.21,4,0,4
1910,3.64,4,0,4
1910,3.5,4,0,4
1910,3.05,4,0,4
1968,3.65,10,10,10
1910,3.33,4,0,4
1910,3.36,4,0,4
1992,12.66,10,10,10
1910,3.31,4,0,4
1910,2.47,4,0,4
1924,11.36,6.02,0,6.5
1924,6.55,6.02,0,6.5
1923,13.75,10,10,10
1910,3.1,4,0,4
1910,3.3,4,0,4
1910,3.78,7.52,2,7.5
1910,3.07,7.52,2,7.5
1910,3.18,6.02,0,6.5
1910,4.45,10,3.4,10
1910,3.49,4,0,4
1926,3.92,10,3.4,10
1910,3.8,6.02,0,6.5
1910,2.42,10,10,10
1910,3.14,4,0,4
1910,3.5,4,0,4
1910,3.35,4,0,4
1882,1.94,4,0,4
1989,13.95,10,10,10
1910,4.28,7.52,2,7.5
2011,4.1,6.02,0,6.5
1910,2.88,4,0,4
0,0,0,2,6.5
1910,3.11,4,0,4
1922,5.98,4,0,4
